probe_id,side,variant_type,target_dimensions,added_dimensions,removed_dimensions,expected_effect,text
pilot_night_drive_to_gym,original,context_flip,"rain_night_drive, low_energy_quiet, solitude_melancholy, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy","rain_night_drive, low_energy_quiet, solitude_melancholy",Gym sprint context should raise high-energy EDM and reduce rain/night/solitude explanations.,"User wants rainy-night driving music: lonely but not depressing, not too loud; profile favors electronic/ambient/City Pop and dislikes noisy rock or high-pressure EDM. Candidate a is ambient/downtempo/night-drive with rain/city/solitude evidence. Candidate b is high-energy festival EDM. Candidate c is soft city-pop Chinese vocal with rainy avenue evidence."
pilot_night_drive_to_gym,counterfactual,context_flip,"rain_night_drive, low_energy_quiet, solitude_melancholy, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy","rain_night_drive, low_energy_quiet, solitude_melancholy",Gym sprint context should raise high-energy EDM and reduce rain/night/solitude explanations.,"User wants gym sprint training music: high energy, strong rhythm, fast activation. Candidate cards stay the same."
pilot_night_drive_to_explosive,original,constraint_flip,"low_energy_quiet, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy",low_energy_quiet,Flipping not-too-loud to explosive/strong-beat should raise the EDM candidate and remove quietness as a negative reason.,User wants rainy-night driving music that is lonely but not too loud. Candidate a is quiet ambient/night-drive; b is high-energy festival EDM; c is soft city-pop.
pilot_night_drive_to_explosive,counterfactual,constraint_flip,"low_energy_quiet, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy",low_energy_quiet,Flipping not-too-loud to explosive/strong-beat should raise the EDM candidate and remove quietness as a negative reason.,"User still has rainy-night driving context but now wants explosive, energizing music and does not mind strong beats. Candidate cards stay the same."
pilot_study_to_emotional_lyrics,original,context_flip,"instrumental_focus, low_energy_quiet, lyric_narrative, chinese_vocal",lyric_narrative,"instrumental_focus, low_energy_quiet",Switching from study background to emotional listening should raise vocal-forward narrative lyrics and reduce low-distraction criteria.,User likes Chinese female vocals and quiet melodic music but is writing a paper and wants background music that does not steal attention. Candidate a has sparse Chinese vocal and study/night evidence; b is dramatic vocal-driven Mandopop; c is instrumental white-noise focus music.
pilot_study_to_emotional_lyrics,counterfactual,context_flip,"instrumental_focus, low_energy_quiet, lyric_narrative, chinese_vocal",lyric_narrative,"instrumental_focus, low_energy_quiet",Switching from study background to emotional listening should raise vocal-forward narrative lyrics and reduce low-distraction criteria.,User is emotionally low and wants to seriously listen to a Chinese song with narrative lyrics that sings the feeling out. Candidate cards stay the same.
pilot_study_to_no_vocals,original,constraint_flip,"chinese_vocal, instrumental_focus, low_energy_quiet",instrumental_focus,chinese_vocal,A hard no-vocals constraint should override Chinese-vocal preference and raise the instrumental focus candidate.,User likes Chinese female vocals and quiet melodic music while studying. Candidate a is sparse Chinese vocal; b is vocal-forward dramatic Mandopop; c is instrumental white noise.
pilot_study_to_no_vocals,counterfactual,constraint_flip,"chinese_vocal, instrumental_focus, low_energy_quiet",instrumental_focus,chinese_vocal,A hard no-vocals constraint should override Chinese-vocal preference and raise the instrumental focus candidate.,"User now needs completely no-vocals, white-noise-like background music for writing. Candidate cards stay the same."
pilot_party_warmup_to_rave,original,context_flip,"party_warmup_groove, rave_hard_energy, novelty_discovery",rave_hard_energy,party_warmup_groove,Moving from pre-party warm-up to 2am rave should raise hard techno and reduce warm-up groove as the main criterion.,"User likes electronic, funk, retro disco, and niche discovery; before friends arrive, they want groove that warms up the room without awkward intensity. Candidate a is nu-disco/funk/groove; b is hard techno/rave; c is soft lo-fi indie."
pilot_party_warmup_to_rave,counterfactual,context_flip,"party_warmup_groove, rave_hard_energy, novelty_discovery",rave_hard_energy,party_warmup_groove,Moving from pre-party warm-up to 2am rave should raise hard techno and reduce warm-up groove as the main criterion.,"It is 2am and friends are already in the zone; user wants harder, stronger, rave-like music. Candidate cards stay the same."
pilot_party_warmup_to_low_presence,original,constraint_flip,"party_warmup_groove, low_energy_quiet, novelty_discovery",low_energy_quiet,party_warmup_groove,"When everyone is tired and wants low-presence background music, soft lo-fi should rise and groove warm-up should lose weight.",User wants pre-party groove to warm up the room. Candidate a is warm nu-disco/funk; b is hard techno; c is soft lo-fi bedroom pop with weak presence.
pilot_party_warmup_to_low_presence,counterfactual,constraint_flip,"party_warmup_groove, low_energy_quiet, novelty_discovery",low_energy_quiet,party_warmup_groove,"When everyone is tired and wants low-presence background music, soft lo-fi should rise and groove warm-up should lose weight.","Friends are tired before the gathering and only want lighter, low-presence background music. Candidate cards stay the same."
